None$None$None
Дискретна математика-1$Дискретна математика-1. Теорія множин$Прак
Диферинціальні рівняння-2$Диферинціальні рівняння-2. Системи диференціальних рівнянь$Лек
Диферинціальні рівняння-2$Диферинціальні рівняння-2. Системи диференціальних рівнянь$Прак
ЕкОВ$Економіка і організація виробництва$Лек
ЕкОВ$Економіка і організація виробництва$Прак
Екологічна безпека інженерної діяльності, Екологічна та природно-техногенна безпека, Екологічні аспекти керування якістю навколишнього середовища, Промислова екологія, Стратегія охорони навколишнього середовища$Екологічна безпека інженерної діяльності$None
Забезпечення якості ПЗ$Забезпечення якості ПЗ$None
Забезпечення якості ПЗ, Криптографічні методи захисту інформації$Забезпечення якості ПЗ$None
Криптографічні методи захисту інформації$Криптографічні методи захисту інформації$None
Культура науково-технічного мовлення фахівця$Культура науково-технічного мовлення фахівця$Лек
Культура науково-технічного мовлення фахівця$Культура науково-технічного мовлення фахівця$Прак
МА-1$Математичний аналіз-1. Диференціальне числення$None
МА-1$Математичний аналіз-1. Диференціальне числення$Лек
МА-1$Математичний аналіз-1. Диференціальне числення$Прак
Мат.лог. та теорія алг.$Математична логіка та теорія алгоритмів$Лек
Мат.лог. та теорія алг.$Математична логіка та теорія алгоритмів$Прак
Математичне моделювання$Математичне моделювання$Лаб
Математичне моделювання$Математичне моделювання$Лек
Математичне моделювання$Математичне моделювання$Прак
Математичний аналіз-3$Математичний аналіз-3. Теорія поля$Лек
Математичний аналіз-3$Математичний аналіз-3. Теорія поля$Прак
Математичні основи компьютерної графіки та мультимедіа$Математичні основи компьютерної графіки та мультимедіа$None
Машинне навчання$Машинне навчання$None
Машинне навчання$Машинне навчання$Лаб
Машинне навчання$Машинне навчання$Лек
Методи обчислень-1$Методи обчислень$Лаб
Методи обчислень-1$Методи обчислень$Лек
Методи обчислень-1$Методи обчислень$Прак
Методи теорії надійності та ризику$Методи теорії надійності та ризику$Лек
Методи штучного інтелекту$Методи штучного інтелекту$Лаб
Методи штучного інтелекту$Методи штучного інтелекту$Лек
Моделювання складних систем$Моделювання складних систем$Лаб
Моделювання складних систем$Моделювання складних систем$Лек
Моделювання складних систем$Моделювання складних систем$Прак
Науковий семінар$Науковий семінар$None
Об'єктно-орієнтов.програм-я Python$Об'єктно-орієнтов.програмування мовою Python$Лаб
Об'єктно-орієнтов.програм-я Python, Програмування мовою Java$Об'єктно-орієнтов.програмування мовою Python$None
Основи наукових досліджень$Основи наукових досліджень$None
Основи нелінійного аналізу$Основи нелінійного аналізу$Лаб
Основи нелінійного аналізу$Основи нелінійного аналізу$Лек
ПІНС$Практикум з іншомовного наукового спілкування$Прак
Педагогічна майстерність$Педагогічна майстерність$Лек
Педагогічна майстерність$Педагогічна майстерність$Прак
Прикладне моделювання$Прикладне моделювання$Лаб
Програмне забезпечення та інструментальні засоби мультимедіа$Програмне забезпечення та інструментальні засоби мультимедіа$None
Програмування мовою Java$Програмування мовою Java$Лаб
Програмування на мові Python$Програмування на мові Python$Лаб
Програмування на мові Python$Програмування на мові Python$Лек
Програмування-1.$Програмування-1. Основи програмування$Лаб
Програмування-1.$Програмування-1. Основи програмування$Лек
Системна інженерія$Системна інженерія$None
Теорія ймовірності$Теорія ймовірності$Лек
Теорія ймовірності$Теорія ймовірності$Прак
Управління проектами$Управління проектами$None
ФВ$Фізичне виховання$None
Функціональний аналіз$Функціональний аналіз$Лек
Функціональний аналіз$Функціональний аналіз$Прак
Фізичне виховання$Фізичне виховання$None
Чисельні методи математичної фізики$Чисельні методи математичної фізики$Лаб
Чисельні методи математичної фізики$Чисельні методи математичної фізики$Лек
